uri,ecartico
https://id.rijksmuseum.nl/310140014,https://www.vondel.humanities.uva.nl/ecartico/persons/5892
http://data.bibliotheken.nl/id/thes/p069952426,https://www.vondel.humanities.uva.nl/ecartico/persons/5892
http://data.bibliotheken.nl/id/thes/p075555395,https://www.vondel.humanities.uva.nl/ecartico/persons/5892
http://data.bibliotheken.nl/id/thes/p308015258,https://www.vondel.humanities.uva.nl/ecartico/persons/5892
https://id.rijksmuseum.nl/31088165,https://www.vondel.humanities.uva.nl/ecartico/persons/5894
https://id.rijksmuseum.nl/31088166,https://www.vondel.humanities.uva.nl/ecartico/persons/5895
https://id.rijksmuseum.nl/310140012,https://www.vondel.humanities.uva.nl/ecartico/persons/5895
http://data.bibliotheken.nl/id/thes/p097564281,https://www.vondel.humanities.uva.nl/ecartico/persons/5895
https://id.rijksmuseum.nl/31088167,https://www.vondel.humanities.uva.nl/ecartico/persons/5896
https://id.rijksmuseum.nl/310139365,https://www.vondel.humanities.uva.nl/ecartico/persons/5896
https://id.rijksmuseum.nl/31088162,https://www.vondel.humanities.uva.nl/ecartico/persons/5891
http://data.bibliotheken.nl/id/thes/p069281742,https://www.vondel.humanities.uva.nl/ecartico/persons/5891
http://data.bibliotheken.nl/id/thes/p075555387,https://www.vondel.humanities.uva.nl/ecartico/persons/5891
http://data.bibliotheken.nl/id/thes/p069781354,https://www.vondel.humanities.uva.nl/ecartico/persons/2986
http://data.bibliotheken.nl/id/thes/p070281688,https://www.vondel.humanities.uva.nl/ecartico/persons/2986
https://id.rijksmuseum.nl/31036479,https://www.vondel.humanities.uva.nl/ecartico/persons/2986
https://id.rijksmuseum.nl/310107144,https://www.vondel.humanities.uva.nl/ecartico/persons/6940
http://data.bibliotheken.nl/id/thes/p068322453,https://www.vondel.humanities.uva.nl/ecartico/persons/7638
https://id.rijksmuseum.nl/310117191,https://www.vondel.humanities.uva.nl/ecartico/persons/7638
http://data.bibliotheken.nl/id/thes/p241795788,https://www.vondel.humanities.uva.nl/ecartico/persons/7615
https://id.rijksmuseum.nl/310117173,https://www.vondel.humanities.uva.nl/ecartico/persons/7615
http://data.bibliotheken.nl/id/thes/p069205736,https://www.vondel.humanities.uva.nl/ecartico/persons/7639
https://id.rijksmuseum.nl/310117190,https://www.vondel.humanities.uva.nl/ecartico/persons/7639
http://data.bibliotheken.nl/id/thes/p273428934,https://www.vondel.humanities.uva.nl/ecartico/persons/2631
https://id.rijksmuseum.nl/31031602,https://www.vondel.humanities.uva.nl/ecartico/persons/2692
http://data.bibliotheken.nl/id/thes/p068693885,https://www.vondel.humanities.uva.nl/ecartico/persons/2692
http://data.bibliotheken.nl/id/thes/p069255814,https://www.vondel.humanities.uva.nl/ecartico/persons/7856
http://data.bibliotheken.nl/id/thes/p308282604,https://www.vondel.humanities.uva.nl/ecartico/persons/9179
https://id.rijksmuseum.nl/310107173,https://www.vondel.humanities.uva.nl/ecartico/persons/6944
http://data.bibliotheken.nl/id/thes/p073257745,https://www.vondel.humanities.uva.nl/ecartico/persons/10272
http://data.bibliotheken.nl/id/thes/p075546353,https://www.vondel.humanities.uva.nl/ecartico/persons/39719
https://id.rijksmuseum.nl/3107604,https://www.vondel.humanities.uva.nl/ecartico/persons/802
https://id.rijksmuseum.nl/31094821,https://www.vondel.humanities.uva.nl/ecartico/persons/6241
https://id.rijksmuseum.nl/31011521,https://www.vondel.humanities.uva.nl/ecartico/persons/1029
http://data.bibliotheken.nl/id/thes/p070044953,https://www.vondel.humanities.uva.nl/ecartico/persons/1029
http://data.bibliotheken.nl/id/thes/p340944722,https://www.vondel.humanities.uva.nl/ecartico/persons/1032
https://id.rijksmuseum.nl/31011522,https://www.vondel.humanities.uva.nl/ecartico/persons/1032
https://id.rijksmuseum.nl/31011523,https://www.vondel.humanities.uva.nl/ecartico/persons/1033
http://data.bibliotheken.nl/id/thes/p075105632,https://www.vondel.humanities.uva.nl/ecartico/persons/1034
https://id.rijksmuseum.nl/31011524,https://www.vondel.humanities.uva.nl/ecartico/persons/1034
http://data.bibliotheken.nl/id/thes/p363965084,https://www.vondel.humanities.uva.nl/ecartico/persons/3041
https://id.rijksmuseum.nl/31037494,https://www.vondel.humanities.uva.nl/ecartico/persons/3041
http://data.bibliotheken.nl/id/thes/p070344752,https://www.vondel.humanities.uva.nl/ecartico/persons/1383
https://id.rijksmuseum.nl/31014927,https://www.vondel.humanities.uva.nl/ecartico/persons/1383
http://data.bibliotheken.nl/id/thes/p069847797,https://www.vondel.humanities.uva.nl/ecartico/persons/6069
https://id.rijksmuseum.nl/31091124,https://www.vondel.humanities.uva.nl/ecartico/persons/6069
http://data.bibliotheken.nl/id/thes/p070390827,https://www.vondel.humanities.uva.nl/ecartico/persons/1470
https://id.rijksmuseum.nl/31016179,https://www.vondel.humanities.uva.nl/ecartico/persons/1470
http://data.bibliotheken.nl/id/thes/p070560153,https://www.vondel.humanities.uva.nl/ecartico/persons/3817
https://id.rijksmuseum.nl/31052610,https://www.vondel.humanities.uva.nl/ecartico/persons/3817
https://id.rijksmuseum.nl/31040675,https://www.vondel.humanities.uva.nl/ecartico/persons/3126
http://data.bibliotheken.nl/id/thes/p069355355,https://www.vondel.humanities.uva.nl/ecartico/persons/3126
http://data.bibliotheken.nl/id/thes/p097611115,https://www.vondel.humanities.uva.nl/ecartico/persons/3126
http://data.bibliotheken.nl/id/thes/p100549756,https://www.vondel.humanities.uva.nl/ecartico/persons/982
https://id.rijksmuseum.nl/31010636,https://www.vondel.humanities.uva.nl/ecartico/persons/982
http://data.bibliotheken.nl/id/thes/p177033061,https://www.vondel.humanities.uva.nl/ecartico/persons/2278
https://id.rijksmuseum.nl/31025497,https://www.vondel.humanities.uva.nl/ecartico/persons/2278
https://id.rijksmuseum.nl/31013707,https://www.vondel.humanities.uva.nl/ecartico/persons/1290
