Community 1 - Period: (1706 - 1802 - Number of books: 79
Name;URI;Begin;End
Kleyne en beknopte atlas, of Tooneel des oorlogs in Europa;http://data.bibliotheken.nl/id/nbt/p302501029;1730;1739
Signa antiqua e museo Jacobi de Wilde.;http://data.bibliotheken.nl/id/nbt/p842380264;1700;1700
Inleidinge tot het ceremonieel, en de plegtigheden der begraavenissen, en der wapen-kvnde.;http://data.bibliotheken.nl/id/nbt/p14597460X;1713;1713
Oeuvres d'architecture.;http://data.bibliotheken.nl/id/nbt/p261794213;1713;1713
Iets voor allen, zynde een verhandeling [...] van allerhande standen, studien [...] handwerken enz.;http://data.bibliotheken.nl/id/nbt/p31787036X;1745;1745
Community 5 - Period: (1576 - 1683 - Number of books: 19
Name;URI;Begin;End
s'Werelts begin, midden, eynde, besloten in den trou-ringh, met den proef-steen van den selven.;http://data.bibliotheken.nl/id/nbt/p116658614;1645;1645
Compendivm opervm Virgilianorvm.;http://data.bibliotheken.nl/id/nbt/p832768030;1612;1612
Variarvm imaginvm a celeberrimis artificibus pictarvm cælatvræ elegantissimis tabvlis repræsentatæ;http://data.bibliotheken.nl/id/nbt/p842424741;1660;1671
Den nievwen verbeterden lust-hof, gheplant vol uytgelesene, eerlijcke, amoreuse ende vrolijcke ghesanghen;http://data.bibliotheken.nl/id/nbt/p842886958;1607;1607
La prima(-quinta) parte della lvce del dipingere et disegnare.;http://data.bibliotheken.nl/id/nbt/p844266507;1643;1643
Nederduytsche poemata.;http://data.bibliotheken.nl/id/nbt/p851977790;1616;1616
Het schilder-boeck waer in voor eerst de leerlustighe iueght den grondt der edel vry schilderconst in verscheyden deelen wort voorghedraghen.;http://data.bibliotheken.nl/id/nbt/p83038197X;1604;1604
Academie de l'espée de Girard Thibault d'Anvers: ou se demonstrent par reigles mathematiques sur le fondement d'un cercle mysterieux la theorie et pratique des [...] secrets du maniement des armes a pied et a cheval.;http://data.bibliotheken.nl/id/nbt/p832859222;1630;1630
Spelen van sinne vvaer inne alle oirboirlijcke ende eerlijcke handvverckenghepresen ende verhaelt vvorden [...]. Ghespeelt [...] binnen der stadt van Antwerpen [...] den vierentwintichsten dach augusti int iaer ons Heeren 1561. Op die questie: vvelck handtvverck, oirboilijcste is van doene, en eerlijcste, nochtans seer cleyn gheacht?;http://data.bibliotheken.nl/id/nbt/p380113112;1562;1562
Ionas de straf-prediker, van Gode af-ghesonden, om die van Ninive tot boete ende beteringe des levens op te wecken.;http://data.bibliotheken.nl/id/nbt/p842890017;1635;1635
De cleyn vverelt.;http://data.bibliotheken.nl/id/nbt/p842880380;1608;1608
Affkomst ende korte historie der grauen van Hollandt Zeelandt ende Vrieslandt.;http://data.bibliotheken.nl/id/nbt/p843115165;1580;1589
Tranen Iesv Christi, gestort over den ondergang Hierusalems.;http://data.bibliotheken.nl/id/nbt/p843292318;1625;1625
Den bloem-hof van de Nederlantsche ieught;http://data.bibliotheken.nl/id/nbt/p843339667;1608;1608
Herôologia Anglica: hoc est, Clarissimorvm et doctissimorvm aliqovt[!] Anglorvm [...] effigies.;http://data.bibliotheken.nl/id/nbt/p05357429X;1620;1620
Den grooten emblemata sacra, bestaande in meer dan vier hondert bybelsche figueren, soo des Ouden als des Nieuwen Testaments.;http://data.bibliotheken.nl/id/nbt/p852488653;1654;1654
Effigies imperatorvm domvs Avstriacæ, dvcvm Bvrgvndiæ, regvm principumqve Europæ.;http://data.bibliotheken.nl/id/nbt/p830598081;1644;1644
Cruijdeboeck. In den welcken die gheheele historie, dat es tgheslacht, tfatsoen, naem, natuere, cracht ende werckinghe, van den cruyden [...] begrepen ende verclaert es;http://data.bibliotheken.nl/id/nbt/p352784482;1554;1554
Wtlegghingh op den Metamorphosis Pub. Ouidij Nasonis.;http://data.bibliotheken.nl/id/nbt/p830382682;1604;1604
Community 6 - Period: (1593 - 1765 - Number of books: 24
Name;URI;Begin;End
Het stadhuys van Maastrigt.;http://data.bibliotheken.nl/id/nbt/p304427969;1664;1664
Tweede deel van de afbeeldsels der voornaemste gebovwen, uyt alle die Philips Vingboons geordineert heeft;http://data.bibliotheken.nl/id/nbt/p281886857;1674;1674
"Athenæ Batavæ. Sive, De vrbe Leidensi, & academiâ, virisque claris; [...] libri dvo.";http://data.bibliotheken.nl/id/nbt/p060867779;1625;1625
Beschryvinge der stad Dordrecht.;http://data.bibliotheken.nl/id/nbt/p832764051;1677;1677
Marie de Medicis, entrant dans Amsterdam: ou, Histoire de la reception faicte à la reyne mere.;http://data.bibliotheken.nl/id/nbt/p85007293X;1638;1638
Koninglyke almanach, beginnende van't jaar 1705.;http://data.bibliotheken.nl/id/nbt/p400941953;1705;1705
Beschryving der nieuwlijks uitgevonden en geoctrojeerde slang-brand-spuiten, en haare wijze van brand-blussen.;http://data.bibliotheken.nl/id/nbt/p841275904;1690;1690
Afbeeldingen, van weinighe schoorsteen-wercken.;http://data.bibliotheken.nl/id/nbt/p841694974;1660;1669
De sael van Orange, ghebouwt by haere hoocht. Amalie princesse dovariere van Orange, etc.;http://data.bibliotheken.nl/id/nbt/p85199752X;1655;1655
