Community 1 - Period: (1702 - 1800 - Number of books: 123
Name;URI;Begin;End
"Groot volkomen moolenboek; of Naauwkeurig ontwerp van allerhande [...] moolens.";http://data.bibliotheken.nl/id/nbt/p279931131;1736;1736
Gebouwen, gezichten, en oudheden der stad Amsterdam;http://data.bibliotheken.nl/id/nbt/p29424607X;1744;1744
Wegwyzer, of Korte beschryvinge van de stadt Amsterdam;http://data.bibliotheken.nl/id/nbt/p184406870;1737;1737
Wegwyzer door Amsterdam;http://data.bibliotheken.nl/id/nbt/p177080507;1726;1726
Beschryving van Amsterdam verkort;http://data.bibliotheken.nl/id/nbt/p283588926;1788;1788
"Leeuwendaal hersteld door de vrede; zinnespel.";http://data.bibliotheken.nl/id/nbt/p172961343;1749;1749
De gewigtigste geschiedenissen des Bybels, afgebeeld in twee honderd twee en vijftig printverbeeldingen. Op nieuw geteekend, en door de voornaamste meesters in het koper gesneden. Met eene zaaklijke uitbreiding opgehelderd.;http://data.bibliotheken.nl/id/nbt/p190416556;1791;1791
Voorbeelden der lusthof-cieraaden.;http://data.bibliotheken.nl/id/nbt/p171647297;1700;1799
Haarlemmer-meer-boek. Of beschrijving, hoe men de Haarlemmer en Leytse-meer bedyken en droog maken zal.;http://data.bibliotheken.nl/id/nbt/p258691204;1736;1736
Dichtlievende uitspanningen.;http://data.bibliotheken.nl/id/nbt/p171537734;1710;1710
Amsteldam en zyne geschiedenissen, in't kort;http://data.bibliotheken.nl/id/nbt/p160975204;1788;1788
Godvrugtige leidsman, aanwyzende de weg ten hemel, door oeffeningen en gebeden, en de kleine getyden van de H. maagd Maria.;http://data.bibliotheken.nl/id/nbt/p314069852;1700;1799
Kleyne en beknopte atlas, of Tooneel des oorlogs in Europa;http://data.bibliotheken.nl/id/nbt/p302501029;1730;1739
Inleidinge tot het ceremonieel, en de plegtigheden der begraavenissen, en der wapen-kvnde.;http://data.bibliotheken.nl/id/nbt/p14597460X;1713;1713
"Schatkamer der Nederlandsse[!] oudheden; of Woordenboek, behelsende Nederlands steden.";http://data.bibliotheken.nl/id/nbt/p15412785X;1737;1737
"Arlequin distelateur, of De overgehaalde nouvelles; zynde een werk immers zo dwaas [...] dewyl het [...] vertoont alle de hokken van het dolhuis dezer geheele wéreld.";http://data.bibliotheken.nl/id/nbt/p143859374;1726;1726
Explication historique des principales medailles frapées a l'historie des Provinces-Unies des Pays-Bas.;http://data.bibliotheken.nl/id/nbt/p167690698;1723;1723
Bloemkrans van christelyke liefde- en zeededichten.;http://data.bibliotheken.nl/id/nbt/p182867498;1714;1714
De nieuwe schouburg der Nederlantsche kunstschilders en schilderessen.;http://data.bibliotheken.nl/id/nbt/p237291797;1750;1750
Amsterdam, in zyne opkomst, aanwas, geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p18498419X;1760;1760
Verzameling der fraaiste gezigten van Amsterdam;http://data.bibliotheken.nl/id/nbt/p169870162;1782;1782
Community 2 - Period: (1581 - 1685 - Number of books: 67
Name;URI;Begin;End
Self-strydt. Dat is Krachtighe bevveginghe van vleesch ende geest, poëtischer vvijse vertoont in den persoon [...] Joseph.;http://data.bibliotheken.nl/id/nbt/p833102028;1625;1625
Chronyk van Holland.;http://data.bibliotheken.nl/id/nbt/p234577908;1740;1740
Eigentlyke afbeeldinge, van hondert der aldervermaerdste statuen, of antique-beelden, staande binnen Romen.;http://data.bibliotheken.nl/id/nbt/p146542657;1660;1669
Silenvs Alcibiadis, sive Protevs.;http://data.bibliotheken.nl/id/nbt/p830294082;1618;1618
Nederduytsche poemata.;http://data.bibliotheken.nl/id/nbt/p852554605;1618;1618
Silenus Alcibiadis, sive Protevs.;http://data.bibliotheken.nl/id/nbt/p147579538;1624;1624
Effigies imperatorvm domvs Avstriacæ, dvcvm Bvrgvndiæ, regvm principumqve Europæ.;http://data.bibliotheken.nl/id/nbt/p830598081;1644;1644
Spiegel der vermaardste courtisanen, in haren optoy, en toestel naar yders tyd.;http://data.bibliotheken.nl/id/nbt/p152093737;1710;1710
Het gulden cabinet vande edele vry schilder-const.;http://data.bibliotheken.nl/id/nbt/p31547047X;1662;1662
Chronici Zelandiæ libri duo.;http://data.bibliotheken.nl/id/nbt/p830694242;1634;1634
Spiegel van den ouden ende nieuvven tijt.;http://data.bibliotheken.nl/id/nbt/p831685654;1635;1635
"Les principes du dessein; ou Methode courte et facile pour aprendre cet art en peu de tems.";http://data.bibliotheken.nl/id/nbt/p401429369;1719;1719
Eigentlyke afbeeldinge, van hondert der aldervermaerdste statuen, of antique-beelden, staande binnen binnen Romen.;http://data.bibliotheken.nl/id/nbt/p165492449;1700;1799
Herôologia Anglica: hoc est, Clarissimorvm et doctissimorvm aliqovt[!] Anglorvm [...] effigies.;http://data.bibliotheken.nl/id/nbt/p05357429X;1620;1620
Den bloem-hof van de Nederlantsche ieught;http://data.bibliotheken.nl/id/nbt/p843339667;1608;1608
Tranen Iesv Christi, gestort over den ondergang Hierusalems.;http://data.bibliotheken.nl/id/nbt/p843292318;1625;1625
s'Werelts begin, midden, eynde, besloten in den trou-ringh, met den proef-steen van den selven.;http://data.bibliotheken.nl/id/nbt/p116658614;1645;1645
Self-stryt, dat is Onderlinghe worstelinghe van goede ende quade gedachten.;http://data.bibliotheken.nl/id/nbt/p852705484;1628;1628
Emblemata.;http://data.bibliotheken.nl/id/nbt/p842035648;1625;1625
Inferioris Germaniae Provinciarvm Vnitarvm antiqvitates.;http://data.bibliotheken.nl/id/nbt/p832975397;1611;1611
Zinne-vverck.;http://data.bibliotheken.nl/id/nbt/p853409560;1624;1624
Zeevsche nachtegael, ende des selfs dryderley gesang;http://data.bibliotheken.nl/id/nbt/p831125780;1623;1623
Hovwelyck. Dat is De gansche gelegentheyt des echten staets.;http://data.bibliotheken.nl/id/nbt/p840515898;1625;1625
t'Vierde deel of t'vervolgh van het Historisch verhael aller ghedenckwaerdigher gheschiedenissen, die [...] van octobri des voorleden iaers, tot den april, deses iaers 1623 voorgevallen syn.;http://data.bibliotheken.nl/id/nbt/p085052787;1623;1623
Historie der Neder-landscher ende haerder na-buren oorlogen ende geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p852488211;1623;1623
Kunstkabinet, besluitende hondert der allerberoemste antique stantbeelden, staende binnen Rome.;http://data.bibliotheken.nl/id/nbt/p192391100;1737;1737
Sinne-vonck op den Hollandtschen turf.;http://data.bibliotheken.nl/id/nbt/p852778015;1634;1634
Maechden-plicht ofte ampt der ionck-vrovvven, in eerbaer liefde, aen-ghewesen door sinne-beelden.;http://data.bibliotheken.nl/id/nbt/p830294937;1618;1618
Affkomst ende korte historie der grauen van Hollandt Zeelandt ende Vrieslandt.;http://data.bibliotheken.nl/id/nbt/p843115165;1580;1589
P. Ovid. Nasonis XV Metamorphoseon librorv̄ figuræ.;http://data.bibliotheken.nl/id/nbt/p400411288;1607;1607
Tafereel van sinne-mal: vvaer in verscheyden verthooninghen werden aenghewesen, met [...] sinne-dichten, en sang-liedekens.;http://data.bibliotheken.nl/id/nbt/p83112525X;1623;1623
Relation en forme de journal, du voyage et sejour, que [...] Charles II roy de la Grand' Bretagne, &c. a fait en Hollande.;http://data.bibliotheken.nl/id/nbt/p852344570;1660;1660
Hovwelyck, dat is: De gansche gelegentheyt des echten-staets.;http://data.bibliotheken.nl/id/nbt/p141546956;1634;1634
Cruijdeboeck. In den welcken die gheheele historie, dat es tgheslacht, tfatsoen, naem, natuere, cracht ende werckinghe, van den cruyden [...] begrepen ende verclaert es;http://data.bibliotheken.nl/id/nbt/p352784482;1554;1554
Ionas de straf-prediker, van Gode af-ghesonden, om die van Ninive tot boete ende beteringe des levens op te wecken.;http://data.bibliotheken.nl/id/nbt/p842890017;1635;1635
Nederduytsche poemata.;http://data.bibliotheken.nl/id/nbt/p851977790;1616;1616
La prima(-quinta) parte della lvce del dipingere et disegnare.;http://data.bibliotheken.nl/id/nbt/p844266507;1643;1643
Academie de l'espée de Girard Thibault d'Anvers: ou se demonstrent par reigles mathematiques sur le fondement d'un cercle mysterieux la theorie et pratique des [...] secrets du maniement des armes a pied et a cheval.;http://data.bibliotheken.nl/id/nbt/p832859222;1630;1630
Compendivm opervm Virgilianorvm.;http://data.bibliotheken.nl/id/nbt/p832768030;1612;1612
Des vyants net, der booser wercken, raet, visioenen, en̄ bedriechlijcker soeckelijcheyt, en̄ sijnder verholender stricken.;http://data.bibliotheken.nl/id/nbt/p400338629;1552;1552
Het schilder-boeck waer in voor eerst de leerlustighe iueght den grondt der edel vry schilderconst in verscheyden deelen wort voorghedraghen.;http://data.bibliotheken.nl/id/nbt/p83038197X;1604;1604
Effigies & vitæ professorvm academiæ Groningæ & Omlandiæ;http://data.bibliotheken.nl/id/nbt/p822591863;1654;1654
Spiegel van den ouden ende nieuvven tijdt.;http://data.bibliotheken.nl/id/nbt/p038108895;1632;1632
Silenvs Alcibiadis sive Protevs.;http://data.bibliotheken.nl/id/nbt/p852005938;1622;1622
Theatrum biblicum hoc est Historiæ sacræ Veteris et Novi Testamenti tabulis æneis expressæ.;http://data.bibliotheken.nl/id/nbt/p842424601;1643;1643
I.V. Nyenborchs hof-stede. Met desselfs andere bedenckingen, gedichten en historien.;http://data.bibliotheken.nl/id/nbt/p82304291X;1659;1659
Oude en nieuwe beschryvinghe van Holland, Zeeland en Vriesland.;http://data.bibliotheken.nl/id/nbt/p080214223;1667;1667
Zeevsche nachtegael, ende des selfs dryderley gesang;http://data.bibliotheken.nl/id/nbt/p84128329X;1632;1632
Het oude Goutsche chronycxken van Hollandt, Zeelandt, Vrieslandt, en Vtrecht.;http://data.bibliotheken.nl/id/nbt/p851445985;1663;1663
Zedekvnst dat is wellevenskunste.;http://data.bibliotheken.nl/id/nbt/p159830362;1586;1586
Den nievwen verbeterden lust-hof, gheplant vol uytgelesene, eerlijcke, amoreuse ende vrolijcke ghesanghen;http://data.bibliotheken.nl/id/nbt/p842886958;1607;1607
De Hollandsche-liis, met de Brabandsche-bely: poeetischer wyse voorgestelt en gedicht.;http://data.bibliotheken.nl/id/nbt/p851233503;1629;1629
El Nuevo Testamento que es, los escriptos evangelicos, y apostolicos.;http://data.bibliotheken.nl/id/nbt/p084472987;1625;1625
Recht ghebruyck ende misbruyck, van tydlycke have.;http://data.bibliotheken.nl/id/nbt/p840904657;1585;1585
Wtlegghingh op den Metamorphosis Pub. Ouidij Nasonis.;http://data.bibliotheken.nl/id/nbt/p830382682;1604;1604
Hovwelyck, dat is De gantsche ghelegentheyt des echten-staets.;http://data.bibliotheken.nl/id/nbt/p078323444;1628;1628
Den grooten emblemata sacra, bestaande in meer dan vier hondert bybelsche figueren, soo des Ouden als des Nieuwen Testaments.;http://data.bibliotheken.nl/id/nbt/p852488653;1654;1654
Tafereel van de belacchende werelt, en des selfs geluckige eeuwe.;http://data.bibliotheken.nl/id/nbt/p852932715;1635;1635
De groote schouburgh der Nederlantsche konstschilders en schilderessen.;http://data.bibliotheken.nl/id/nbt/p213267624;1753;1753
Johannis Vytenbogaerts leven, kerckelijcke bedieninghe ende zedighe verantwoordingh.;http://data.bibliotheken.nl/id/nbt/p86220996X;1646;1646
Proteus ofte Minne-beelden verandert in sinne-beelden.;http://data.bibliotheken.nl/id/nbt/p842035931;1627;1627
